Pays,Année,FDI Inflows % GDP,Political Stability,Regulatory Quality,kaopen
Gabon,2021,11.1881442291265,-0.0657728165388107,-0.881805598735809,-1.2538762092590332
Gabon,2022,7.86436710820957,-0.0757173225283623,-0.821126997470856,-1.2538762092590332
Gabon,2023,5.40389729406011,0.0603694021701813,-0.702257215976715,-1.2538762092590332
Gabon,2024,5.93517225575899,-0.335527300834656,-0.704819560050964,-1.2538762092590332
Ghana,2015,6.45737614178894,-0.0382289066910744,-0.107558235526085,-1.9393720626831048
Ghana,2016,6.45737614178894,-0.0382289066910744,-0.107558235526085,-1.9393720626831048
Ghana,2017,6.20782671803196,-0.138907715678215,-0.299607872962952,-1.9393720626831048
Ghana,2018,5.39035841681501,0.0820369869470596,-0.188691198825836,-1.9393720626831048
Ghana,2019,4.4440435772374,-0.0366430282592773,-0.141936391592026,-1.9393720626831048
Ghana,2020,5.67619931009197,0.118526868522167,-0.185462951660156,-1.9393720626831048
Ghana,2021,2.67937438514205,0.169901907444,-0.130579710006714,-1.9393720626831048
Ghana,2022,3.18633188953992,0.0658524557948112,-0.215175911784172,-1.9393720626831048
Ghana,2023,1.93240124339233,-0.195024788379669,-0.178818702697754,-1.9393720626831048
Ghana,2024,1.63794208213468,-0.0216207038611174,-0.18065220117569,-1.9393720626831048
Kenya,2015,0.883799936312692,-1.24134790897369,-0.368477910757065,1.0219684839248655
Kenya,2016,0.883799936312692,-1.24134790897369,-0.368477910757065,1.0219684839248655
Kenya,2017,0.627591266355583,-1.35445654392242,-0.357900857925415,1.0219684839248655
Kenya,2018,1.64083690398642,-1.12843883037567,-0.280637979507446,1.0219684839248655
Kenya,2019,0.832686217791619,-1.17971229553223,-0.265344053506851,1.0219684839248655
Kenya,2020,0.468168547481475,-1.10576343536377,-0.338947534561157,1.0219684839248655
Kenya,2021,-0.0053684543935162,-1.00724005699158,-0.51719057559967,1.0219684839248655
Kenya,2022,0.382593996518954,-1.03243744373322,-0.460586369037628,1.0219684839248655
Kenya,2023,0.691645983068062,-0.947280883789062,-0.380829960107803,1.0219684839248655
Kenya,2024,0.472521238226254,-0.937771916389465,-0.390806585550308,1.0219684839248655
Madagascar,2015,2.89727727453158,-0.427762925624847,-0.809338331222534,-0.174766257405281
Madagascar,2016,2.89727727453158,-0.427762925624847,-0.809338331222534,-0.174766257405281
Madagascar,2017,4.56460803171495,-0.294186472892761,-0.735103726387024,-1.2538762092590332
Madagascar,2018,3.52797151000057,-0.302837282419205,-0.736412763595581,-1.2538762092590332
Madagascar,2019,4.44792798727993,-0.578798413276672,-0.785894691944122,-1.2538762092590332
Madagascar,2020,3.36279830994654,-0.313957303762436,-0.788889169692993,-1.2538762092590332
Madagascar,2021,2.74657132352468,-0.509334743022919,-0.811572015285492,-1.2538762092590332
Madagascar,2022,2.49072338064723,-0.542262673377991,-0.836634576320648,-1.2538762092590332
Madagascar,2023,3.05272592480358,-0.480796605348587,-0.815499842166901,-1.2538762092590332
Madagascar,2024,2.61211338487942,-0.690745651721954,-0.799546599388123,-1.2538762092590332
Malawi,2015,3.12107477506801,0.0342932753264904,-0.86566561460495,-1.2538762092590332
Malawi,2016,3.12107477506801,0.0342932753264904,-0.86566561460495,-1.2538762092590332
Malawi,2017,1.46272973143861,-0.116127513349056,-0.881440103054047,-1.2538762092590332
Malawi,2018,1.0085487596618,-0.249828174710274,-0.79025799036026,-1.2538762092590332
Malawi,2019,0.779538295941585,-0.431215286254883,-0.723060786724091,-1.2538762092590332
Malawi,2020,0.499715595789277,-0.286819607019424,-0.749148666858673,-1.2538762092590332
Malawi,2021,2.14268264715469,-0.118886552751064,-0.785046398639679,-1.2538762092590332
Malawi,2022,1.04617739110529,-0.10926304012537,-0.801559805870056,-1.2538762092590332
Malawi,2023,1.5988861608404,-0.157983273267746,-0.739736258983612,-1.2538762092590332
